Идентификатор УБИ,Наименование УБИ,Описание,Лемматизированное описание
11,Угроза деавторизации санкционированного клиента беспроводной сети,"Угроза заключается в возможности автоматического разрыва соединения беспроводной точки доступа с санкционированным клиентом беспроводной сети._x000D_
Данная угроза обусловлена слабостью технологий сетевого взаимодействия по беспроводным каналам передачи данных – сведения о МАС-адресах беспроводных клиентов доступны всем участникам сетевого взаимодействия._x000D_
Реализация данной угрозы возможна при условии подключения нарушителем к беспроводной сети устройства, МАС-адрес которого будет полностью совпадать с МАС-адресом дискредитируемого санкционированного клиента","разрыв соединение беспроводный точка доступ санкционировать клиент беспроводный сеть сетевой взаимодействие беспроводный канал передача данные сведение масадрес беспроводный клиент доступный весь участник сетевой беспроводный сеть устройство масадрес который полностью совпадать масадрес дискредитировать санкционировать клиент
"
12,Угроза деструктивного изменения конфигурации/среды окружения программ,"Угроза заключается в возможности деструктивного программного воздействия на дискредитируемое приложение путём осуществления манипуляций с используемыми им конфигурационными файлами или библиотеками._x000D_
Данная угроза обусловлена слабостями мер контроля целостности конфигурационных файлов или библиотек, используемых приложениями._x000D_
Реализация данной угрозы возможна в случае наличия у нарушителя прав осуществления записи в файловые объекты, связанные с конфигурацией/средой окружения программы, или возможности перенаправления запросов дискредитируемой программы от защищённых файловых объектов к ложным","программный воздействие конфигурационный файл библиотека контроль целостность конфигурационный файл библиотека использовать приложение файловый объект связанный конфигурацией среда окружение программа возможность защитить файловый объект ложный
"
13,Угроза деструктивного использования декларированного функционала BIOS,"Угроза заключается в возможности неправомерного использования декларированного функционала BIOS/UEFI для нарушения целостности информации, хранимой на внешних носителях информации и в оперативном запоминающем устройстве компьютера._x000D_
Данная угроза обусловлена уязвимостями программного обеспечения BIOS/UEFI, предназначенного для тестирования и обслуживания компьютера (средств проверки целостности памяти, программного обеспечения управления RAID-контроллером и т.п.)._x000D_
Реализации данной угрозы может способствовать возможность обновления некоторых BIOS/UEFI без прохождения аутентификации","угроза заключаться возможность неправомерный функционал нарушение целостность информация хранить внешний носитель информация оперативный запоминать устройство компьютер проверка целостность память программный обеспечение управление обновление прохождение аутентификация
"
14,Угроза длительного удержания вычислительных ресурсов пользователями,"Угроза заключается в возможности ограничения нарушителем доступа конечных пользователей к вычислительному ресурсу за счёт принудительного удержания его в загруженном состоянии путём осуществления им многократного выполнения определённых деструктивных действий или эксплуатации уязвимостей программ, распределяющих вычислительные ресурсы между задачами. _x000D_
Данная угроза обусловлена слабостями механизмов балансировки нагрузки и распределения вычислительных ресурсов._x000D_
Реализация угрозы возможна в случае, если у нарушителя имеется возможность делать запросы, которые в совокупности требуют больше времени на выполнение, чем запросы пользователя","ограничение нарушитель доступ конечный пользователь вычислительный ресурс принудительный удержание загрузить состояние многократный балансировка нагрузка распределение вычислительный ресурс реализация угроза нарушитель возможность делать запрос который совокупность требовать время выполнение запрос пользователь
"
15,Угроза доступа к защищаемым файлам с использованием обходного пути,"Угроза заключается в возможности получения нарушителем доступа к скрытым/защищаемым каталогам или файлам посредством различных воздействий на файловую систему (добавление дополнительных символов в указании пути к файлу; обращение к файлам, которые явно не указаны в окне приложения). _x000D_
Данная угроза обусловлена слабостями механизма разграничения доступа к объектам файловой системы._x000D_
Реализация данной угрозы возможна при условиях:_x000D_
наличие у нарушителя прав доступа к некоторым объектам файловой системы;_x000D_
отсутствие проверки вводимых пользователем данных;_x000D_
наличие у дискредитируемой программы слишком высоких привилегий доступа к файлам, обработка которых не предполагается с её помощью","нарушитель доступ скрытым каталог файл файловый система добавление дополнительный символ указание путь файл обращение файл разграничение доступ объект файловый система доступ объект файловый система отсутствие проверка высокий привилегия доступ файл
"
16,Угроза доступа к локальным файлам сервера при помощи URL,"Угроза заключается в возможности передачи нарушителем дискредитируемому браузеру запроса на доступ к файловой системе пользователя вместо URL-запроса. При этом браузер выполнит этот запрос с правами, которыми он был наделён при запуске, и передаст данные, полученные в результате выполнения этой операции, нарушителю._x000D_
Данная угроза обусловлена слабостями механизма проверки вводимых пользователем запросов, который не делает различий между запросами на доступ к файловой системе и URL-запросами._x000D_
Реализация данной угрозы возможна в случае наличия у нарушителя привилегий на отправку запросов браузеру, функционирующему в дискредитируемой системе","браузер запрос доступ файловый система пользователь запрос выполнить запрос результат выполнение операция вводить пользователь запрос который делать различие запрос доступ файловый система запрос реализация дать угроза возможный случай наличие нарушитель привилегия отправка запрос браузер функционировать
"
17,Угроза доступа/перехвата/изменения HTTP cookies,"Угроза заключается в возможности осуществления нарушителем несанкционированного доступа к защищаемой информации (учётным записям пользователей, сертификатам и т.п.), содержащейся в cookies-файлах, во время их хранения или передачи, в режиме чтения (раскрытие конфиденциальности) или записи (внесение изменений для реализации угрозы подмены доверенного пользователя)._x000D_
Данная угроза обусловлена слабостями мер защиты cookies-файлов: отсутствием проверки вводимых данных со стороны сетевой службы, использующей cookies-файлы, а также отсутствием шифрования при передаче cookies-файлов._x000D_
Реализация данной угрозы возможна при условиях осуществления нарушителем успешного несанкционированного доступа к cookies-файлам и отсутствии проверки целостности их значений со стороны дискредитируемого приложения","доступ перехват изменение изменения несанкционированный доступ информация учетный запись пользователь сертификат слабость защита файл проверка данные отсутствие шифрование
"
19,Угроза заражения DNS-кеша,"Угроза заключается в возможности перенаправления нарушителем сетевого трафика через собственный сетевой узел путём опосредованного изменения таблиц соответствия IP- и доменных имён, хранимых в DNS-сервере, за счёт генерации лавины возможных ответов на запрос DNS-сервера легальному пользователю или за счёт эксплуатации уязвимостей DNS-сервера. _x000D_
Данная угроза обусловлена слабостями механизмов проверки подлинности субъектов сетевого взаимодействия, а также уязвимостями DNS-сервера, позволяющими напрямую заменить DNS-кеш DNS-сервера._x000D_
Реализация данной угрозы возможна в случае наличия у нарушителя привилегий, достаточных для отправки сетевых запросов к DNS-серверу","перенаправление нарушитель сетевой трафик собственный сетевой узел путём изменение таблица доменный имя хранить сервер счёт генерация лавина возможный ответ запрос сервер легальный пользователь счёт эксплуатация уязвимость сервер проверка подлинность субъект сетевой уязвимость сервер заменить кеш сервер достаточный отправка сетевой запрос сервер
"
20,"Угроза злоупотребления возможностями, предоставленными потребителям облачных услуг","Угроза заключается в возможности осуществления потребителем облачных услуг (нарушителем) рассылки спама, несанкционированного доступа к виртуальным машинам других потребителей облачных услуг или осуществления других деструктивных программных воздействий на различные системы с помощью арендованных ресурсов облачного сервера._x000D_
Данная угроза обусловлена тем, что потребитель облачных услуг может устанавливать собственное программное обеспечение на облачный сервер._x000D_
Реализация данной угрозы возможна путём установки и запуска потребителем облачных услуг вредоносного программного обеспечения на облачный сервер. Успешная реализация данной угрозы потребителем облачных услуг оказывает негативное влияние на репутацию поставщика облачных услуг","облачный услуга нарушитель рассылка спам несанкционированный доступ виртуальный машина другой потребитель облачный услуга ресурс облачный сервер устанавливать собственный программный обеспечение облачный сервер реализация установка запуск облачный услуга вредоносный программный обеспечение облачный сервер успешный реализация негативный влияние репутация поставщик облачный услуга
"
21,Угроза злоупотребления доверием потребителей облачных услуг,"Угроза заключается в возможности нарушения (случайно или намеренно) защищённости информации потребителей облачных услуг внутренними нарушителями поставщика облачных услуг._x000D_
Данная угроза обусловлена тем, что значительная часть функций безопасности переведена в сферу ответственности поставщика облачных услуг, а также невозможностью принятия потребителем облачных услуг мер защиты от действий сотрудников поставщика облачных услуг._x000D_
Реализация данной угрозы возможна при условии того, что потребители облачных услуг не входят в состав организации, осуществляющей оказание данных облачных услуг (т.е. потребитель действительно передал поставщику собственную информацию для осуществления её обработки)","потребитель облачный услуга внутренний нарушитель поставщик облачный услуга значительный часть функция безопасность перевести сфера ответственность поставщик облачный услуга невозможность принятие потребитель облачный услуга мера защита действие сотрудник поставщик облачный услуга реализация дать угроза возможный условие потребитель облачный услуга входить состав организация осуществлять оказание данные облачный услуга информация осуществление её обработка
"
22,Угроза избыточного выделения оперативной памяти,"Угроза заключается в возможности выделения значительных ресурсов оперативной памяти для обслуживания запросов вредоносных программ и соответственного снижения объёма ресурсов оперативной памяти, доступных в системе для выделения в ответ на запросы программ легальных пользователей._x000D_
Данная угроза обусловлена наличием слабостей механизма контроля выделения оперативной памяти различным программам._x000D_
Реализация данной угрозы возможна при условии нахождения вредоносного программного обеспечения в системе в активном состоянии","выделение значительный ресурс оперативный память обслуживание запрос вредоносный программа снижение объём ресурс оперативный память доступный система выделение ответ запрос программа слабость механизм контроль выделение оперативный память различный программа вредоносный программный обеспечение система активный состояние
"
23,Угроза изменения компонентов информационной (автоматизированной) системы,"Угроза заключается в возможности получения нарушителем доступа к сети, файлам, внедрения закладок и т.п. путём несанкционированного изменения состава программных или аппаратных средств информационной системы, что в дальнейшем позволит осуществлять данному нарушителю (или другому - внешнему, обнаружившему несанкционированный канал доступа в систему) несанкционированные действия в данной системе._x000D_
Данная угроза обусловлена слабостями мер контроля за целостностью аппаратной конфигурации информационной системы._x000D_
Реализация данной угрозы возможна при условии успешного получения нарушителем необходимых полномочий в системе и возможности подключения дополнительного периферийного оборудования","нарушитель доступ сеть файл внедрение закладка несанкционированный изменение состав программный аппаратный средство информационный система несанкционированный канал доступ система несанкционированный действие система контроль целостность аппаратный конфигурация информационный система полномочие система возможность подключение дополнительный периферийный оборудование
"
24,Угроза изменения режимов работы аппаратных элементов компьютера,"Угроза заключается в возможности изменения нарушителем режимов работы аппаратных элементов компьютера путём несанкционированного переконфигурирования BIOS/UEFI, что позволяет:_x000D_
за счёт изменения частоты системной шины, режима передачи данных по каналам связи и т.п. повлиять на общую производительность компьютера или вызвать сбои в его работе;_x000D_
за счёт понижения входного напряжения, отключения систем охлаждения временно обеспечить неработоспособность компьютера;_x000D_
за счёт задания недопустимых параметров работы устройств (порогового значения отключения устройства при перегреве, входного напряжения и т.п.) привести к физическому выходу из строя отдельных аппаратных элементов компьютера._x000D_
Данная угроза обусловлена слабостями технологий разграничения доступа к управлению BIOS/UEFI._x000D_
Реализация данной угрозы возможна при условии наличия у нарушителя привилегий на изменение соответствующих параметров настройки BIOS/UEFI","изменение нарушитель режим работа аппаратный элемент переконфигурирование позволять счёт изменение частота системный шина режим передача данные канал связь производительность компьютер вызвать сбой работа понижение входной напряжение отключение система охлаждение неработоспособность недопустимый параметр пороговый значение отключение устройство перегрев входной напряжение привести физический выход строй отдельный аппаратный элемент разграничение доступ управление реализация
"
25,Угроза изменения системных и глобальных переменных,"Угроза заключается в возможности осуществления нарушителем опосредованного деструктивного программного воздействия на некоторые программы или систему в целом путём изменения используемых дискредитируемыми программами единых системных и глобальных переменных._x000D_
Данная угроза обусловлена слабостями механизма контроля доступа к разделяемой памяти, а также уязвимостями программных модулей приложений, реализующих контроль целостности внешних переменных._x000D_
Реализация данной угрозы возможна при условиях осуществления нарушителем успешного несанкционированного доступа к системным и глобальным переменным и отсутствии проверки целостности их значений со стороны дискредитируемого приложения","программный воздействие некоторый программа система целое путём изменение глобальный переменный механизм контроль доступ разделять память уязвимость программный модуль приложение реализовать контроль целостность внешний переменный реализация несанкционированный доступ системный глобальный переменный отсутствие проверка целостность значение сторона дискредитировать приложение
"
